id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29958330,"New, clean & cozy, 1 min to MTR Station.",128490943,Daniel,,Kowloon City,22.31535,114.18904,Entire home/apt,,7,49,2025-04-09,0.60,1,116,4,
29972391,Sham Sui Po --- Room for 1 person with lift ! sp2a,97240131,Jov,,Sham Shui Po,22.33063,114.16085,Private room,160,29,0,,,290,363,0,
29979034,"ELEGANT STUDIO SET-UP ON PATERSON STREET, CWB",156409670,Tushita,,Wan Chai,22.28123,114.18536,Entire home/apt,490,28,0,,,87,364,0,
29979141,Prince Edward Luxury Studio *5C,14861546,Tane Residence,,Sham Shui Po,22.32715,114.16523,Entire home/apt,485,15,5,2025-07-13,0.10,124,52,4,
29992189,Prince Edward Luxury Studio *4C,14861546,Tane Residence,,Sham Shui Po,22.32756,114.16706,Entire home/apt,505,21,0,,,124,297,0,
29992458,Prince Edward Luxury Studio *4D,14861546,Tane Residence,,Sham Shui Po,22.32731,114.16705,Entire home/apt,447,20,0,,,124,294,0,
29992770,Prince Edward Luxury Studio *5D,14861546,Tane Residence,,Sham Shui Po,22.32762,114.16677,Entire home/apt,432,30,4,2023-05-03,0.11,124,79,0,
30004471,Prince Edward Luxury Studio *3C,14861546,Tane Residence,,Sham Shui Po,22.3269,114.16527,Entire home/apt,505,60,0,,,124,363,0,
30023615,Sharing flat in prince edward(pe1a),4584648,Ivy,,Sham Shui Po,22.32742,114.16715,Private room,160,30,0,,,353,363,0,
30027917,TASTEFUL STUDIO SET-UP ON GREAT GEORGE STRT.,138649185,Sidharth,,Wan Chai,22.28196,114.1843,Entire home/apt,530,28,1,2019-08-24,0.01,135,364,0,
30029234,Flat Share in Prince Edward (PE1d),67709885,Steven,,Sham Shui Po,22.3278,114.16911,Private room,160,29,0,,,281,363,0,
30053398,Nice Flat Share in Central (ML23a),67709885,Steven,,Central & Western,22.2812,114.15288,Private room,160,31,0,,,281,363,0,
30056007,Wanchai !!! Room for 1 with lift !  ( w10e),97240131,Jov,,Wan Chai,22.27797,114.17765,Private room,,29,0,,,290,364,0,
30099249,Sham Sui Po - SPACIOUS room for 2  !!!  (sp5b,97240131,Jov,,Sham Shui Po,22.32967,114.15976,Private room,183,29,0,,,290,363,0,
30099921,"Yaumatei, Kowloon - STUDIO w/Kitchen ! no lift y9a",97240131,Jov,,Yau Tsim Mong,22.3136,114.17053,Entire home/apt,217,29,0,,,290,364,0,
30136667,2 Single Beds Room Tsim Sha Tsui (WSI. Guesthouse),214793286,Wai Kit,,Yau Tsim Mong,22.2975,114.17192,Private room,557,1,3,2023-11-18,0.04,23,270,0,
30139683,Shared flat in Kennedy Town (K3a),67709885,Steven,,Central & Western,22.28397,114.13097,Private room,130,31,0,,,281,363,0,
30144066,"ECONOMICAL STUDIO AT NORTH POINT, HK",156409670,Tushita,,Eastern,22.29114,114.19723,Entire home/apt,450,25,0,,,87,363,0,
30144194,"WITH PRIVATE ROOFTOP, ELEGANT CENTRAL 2-BR",138649185,Sidharth,,Central & Western,22.28326,114.1561,Entire home/apt,1000,28,0,,,135,364,0,
30197925,Mixed Dorm Bed#H@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27773,114.17783,Shared room,186,1,37,2025-09-01,0.48,25,342,18,
30198341,Female Dorm Bed#A@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27731,114.17587,Shared room,186,1,2,2019-07-13,0.03,25,365,0,
30199208,Female Dorm Bed#C@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27937,114.17816,Shared room,186,1,1,2019-07-05,0.01,25,365,0,
30199506,Female Dorm Bed#E@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27934,114.17647,Shared room,186,1,6,2025-08-14,0.08,25,362,3,
30212782,Nice Shared Flat in Sai Yun Pun (S5d),97240131,Jov,,Central & Western,22.28408,114.14275,Private room,160,29,0,,,290,363,0,
